open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-06-15 00:00:00,66043.99000000,66290.00000000,65967.50000000,66267.87000000,2008.24903000,2024-06-15 03:59:59.999,132868040.56844080,102819,944.28797000,62468948.23332330,0
2024-06-15 04:00:00,66267.87000000,66416.66000000,66065.80000000,66076.99000000,2891.47187000,2024-06-15 07:59:59.999,191464373.14026020,152104,1301.76860000,86199732.43097870,0
2024-06-15 08:00:00,66076.99000000,66348.00000000,66076.98000000,66319.95000000,1493.77779000,2024-06-15 11:59:59.999,98957118.76560180,93246,717.15614000,47510471.38116420,0
2024-06-15 12:00:00,66319.94000000,66478.48000000,66153.84000000,66316.02000000,2100.54737000,2024-06-15 15:59:59.999,139248173.48219180,138992,1037.24571000,68758200.02368580,0
2024-06-15 16:00:00,66316.02000000,66360.00000000,66071.47000000,66154.70000000,1431.64709000,2024-06-15 19:59:59.999,94792032.63207890,117768,738.64339000,48902459.22093500,0
2024-06-15 20:00:00,66154.70000000,66287.76000000,65857.10000000,66228.25000000,1526.10927000,2024-06-15 23:59:59.999,100846149.43976370,95957,755.91902000,49956305.16348820,0
2024-06-16 00:00:00,66228.25000000,66269.74000000,66076.55000000,66146.00000000,790.58916000,2024-06-16 03:59:59.999,52311541.69921090,79560,341.88389000,22620759.99786250,0
2024-06-16 04:00:00,66145.99000000,66360.18000000,66034.50000000,66266.30000000,1179.96721000,2024-06-16 07:59:59.999,78155136.95797510,92744,587.19577000,38895019.21441750,0
2024-06-16 08:00:00,66266.30000000,66770.00000000,66172.50000000,66492.83000000,2395.77885000,2024-06-16 11:59:59.999,159187387.03833440,135891,1253.91143000,83324604.83062360,0
2024-06-16 12:00:00,66492.83000000,66793.72000000,66480.00000000,66712.80000000,1854.32659000,2024-06-16 15:59:59.999,123554059.61493280,135983,938.33055000,62522454.89146620,0
